Label,Class,File reference
0,Non-mitotic,Vid_164.mp4
1,Mitotic,Vid_165.mp4
1,Mitotic,Vid_166.mp4
1,Mitotic,Vid_167.mp4
1,Mitotic,Vid_168.mp4
1,Mitotic,Vid_169.mp4
0,Non-mitotic,Vid_170.mp4
0,Non-mitotic,Vid_171.mp4
0,Non-mitotic,Vid_172.mp4
1,Mitotic,Vid_173.mp4
0,Non-mitotic,Vid_174.mp4
0,Non-mitotic,Vid_175.mp4
1,Mitotic,Vid_176.mp4
1,Mitotic,Vid_177.mp4
0,Non-mitotic,Vid_178.mp4
1,Mitotic,Vid_179.mp4
1,Mitotic,Vid_180.mp4
0,Non-mitotic,Vid_181.mp4
1,Mitotic,Vid_182.mp4
0,Non-mitotic,Vid_183.mp4
1,Mitotic,Vid_184.mp4
1,Mitotic,Vid_185.mp4
1,Mitotic,Vid_186.mp4
1,Mitotic,Vid_187.mp4
0,Non-mitotic,Vid_188.mp4
0,Non-mitotic,Vid_189.mp4
0,Non-mitotic,Vid_190.mp4
0,Non-mitotic,Vid_191.mp4
0,Non-mitotic,Vid_192.mp4
0,Non-mitotic,Vid_193.mp4
1,Mitotic,Vid_194.mp4
1,Mitotic,Vid_195.mp4
0,Non-mitotic,Vid_196.mp4
0,Non-mitotic,Vid_197.mp4
1,Mitotic,Vid_198.mp4
1,Mitotic,Vid_199.mp4
1,Mitotic,Vid_200.mp4
0,Non-mitotic,Vid_201.mp4
1,Mitotic,Vid_202.mp4
1,Mitotic,Vid_203.mp4
0,Non-mitotic,Vid_204.mp4
1,Mitotic,Vid_205.mp4
1,Mitotic,Vid_206.mp4
0,Non-mitotic,Vid_207.mp4
1,Mitotic,Vid_208.mp4
1,Mitotic,Vid_209.mp4
0,Non-mitotic,Vid_210.mp4
0,Non-mitotic,Vid_211.mp4
1,Mitotic,Vid_212.mp4
0,Non-mitotic,Vid_213.mp4
1,Mitotic,Vid_214.mp4
1,Mitotic,Vid_215.mp4
1,Mitotic,Vid_216.mp4
1,Mitotic,Vid_217.mp4
1,Mitotic,Vid_218.mp4
1,Mitotic,Vid_219.mp4
0,Non-mitotic,Vid_220.mp4
1,Mitotic,Vid_221.mp4
0,Non-mitotic,Vid_222.mp4
0,Non-mitotic,Vid_223.mp4
0,Non-mitotic,Vid_224.mp4
1,Mitotic,Vid_225.mp4
0,Non-mitotic,Vid_226.mp4
0,Non-mitotic,Vid_227.mp4
1,Mitotic,Vid_228.mp4
0,Non-mitotic,Vid_229.mp4
0,Non-mitotic,Vid_230.mp4
0,Non-mitotic,Vid_231.mp4
1,Mitotic,Vid_232.mp4
1,Mitotic,Vid_233.mp4
1,Mitotic,Vid_234.mp4
1,Mitotic,Vid_235.mp4
1,Mitotic,Vid_236.mp4
0,Non-mitotic,Vid_237.mp4
1,Mitotic,Vid_238.mp4
1,Mitotic,Vid_239.mp4
1,Mitotic,Vid_240.mp4
1,Mitotic,Vid_241.mp4
0,Non-mitotic,Vid_242.mp4
1,Mitotic,Vid_243.mp4
1,Mitotic,Vid_244.mp4
1,Mitotic,Vid_245.mp4
0,Non-mitotic,Vid_246.mp4
1,Mitotic,Vid_247.mp4
1,Mitotic,Vid_248.mp4
0,Non-mitotic,Vid_249.mp4
1,Mitotic,Vid_250.mp4
0,Non-mitotic,Vid_251.mp4
0,Non-mitotic,Vid_252.mp4
1,Mitotic,Vid_253.mp4
1,Mitotic,Vid_254.mp4
1,Mitotic,Vid_255.mp4
0,Non-mitotic,Vid_256.mp4
0,Non-mitotic,Vid_257.mp4
1,Mitotic,Vid_258.mp4
1,Mitotic,Vid_259.mp4
0,Non-mitotic,Vid_260.mp4
1,Mitotic,Vid_261.mp4
0,Non-mitotic,Vid_262.mp4
1,Mitotic,Vid_263.mp4
0,Non-mitotic,Vid_264.mp4
0,Non-mitotic,Vid_265.mp4
0,Non-mitotic,Vid_266.mp4
1,Mitotic,Vid_267.mp4
0,Non-mitotic,Vid_268.mp4
1,Mitotic,Vid_269.mp4
1,Mitotic,Vid_270.mp4
0,Non-mitotic,Vid_271.mp4
1,Mitotic,Vid_272.mp4
1,Mitotic,Vid_273.mp4
0,Non-mitotic,Vid_274.mp4
1,Mitotic,Vid_275.mp4
1,Mitotic,Vid_276.mp4
0,Non-mitotic,Vid_277.mp4
0,Non-mitotic,Vid_278.mp4
0,Non-mitotic,Vid_279.mp4
1,Mitotic,Vid_280.mp4
0,Non-mitotic,Vid_281.mp4
0,Non-mitotic,Vid_282.mp4
1,Mitotic,Vid_283.mp4
1,Mitotic,Vid_284.mp4
0,Non-mitotic,Vid_285.mp4
1,Mitotic,Vid_286.mp4
0,Non-mitotic,Vid_287.mp4
0,Non-mitotic,Vid_288.mp4
1,Mitotic,Vid_289.mp4
0,Non-mitotic,Vid_290.mp4
0,Non-mitotic,Vid_291.mp4
0,Non-mitotic,Vid_292.mp4
0,Non-mitotic,Vid_293.mp4
1,Mitotic,Vid_294.mp4
0,Non-mitotic,Vid_295.mp4
1,Mitotic,Vid_296.mp4
1,Mitotic,Vid_297.mp4
1,Mitotic,Vid_298.mp4
1,Mitotic,Vid_299.mp4
0,Non-mitotic,Vid_300.mp4
0,Non-mitotic,Vid_301.mp4
0,Non-mitotic,Vid_302.mp4
1,Mitotic,Vid_303.mp4
0,Non-mitotic,Vid_304.mp4
0,Non-mitotic,Vid_305.mp4
1,Mitotic,Vid_306.mp4
0,Non-mitotic,Vid_307.mp4
0,Non-mitotic,Vid_308.mp4
0,Non-mitotic,Vid_309.mp4
0,Non-mitotic,Vid_310.mp4
0,Non-mitotic,Vid_311.mp4
1,Mitotic,Vid_312.mp4
1,Mitotic,Vid_313.mp4
1,Mitotic,Vid_314.mp4
0,Non-mitotic,Vid_315.mp4
1,Mitotic,Vid_316.mp4
0,Non-mitotic,Vid_317.mp4
0,Non-mitotic,Vid_318.mp4
1,Mitotic,Vid_319.mp4
0,Non-mitotic,Vid_320.mp4
1,Mitotic,Vid_321.mp4
1,Mitotic,Vid_322.mp4
1,Mitotic,Vid_323.mp4
1,Mitotic,Vid_324.mp4
1,Mitotic,Vid_325.mp4
0,Non-mitotic,Vid_326.mp4
0,Non-mitotic,Vid_327.mp4
0,Non-mitotic,Vid_328.mp4
0,Non-mitotic,Vid_329.mp4
1,Mitotic,Vid_330.mp4
0,Non-mitotic,Vid_331.mp4
0,Non-mitotic,Vid_332.mp4
0,Non-mitotic,Vid_333.mp4
0,Non-mitotic,Vid_334.mp4
1,Mitotic,Vid_335.mp4
1,Mitotic,Vid_336.mp4
0,Non-mitotic,Vid_337.mp4
1,Mitotic,Vid_338.mp4
0,Non-mitotic,Vid_339.mp4
1,Mitotic,Vid_340.mp4
1,Mitotic,Vid_341.mp4
1,Mitotic,Vid_342.mp4
0,Non-mitotic,Vid_343.mp4
1,Mitotic,Vid_344.mp4
0,Non-mitotic,Vid_345.mp4
1,Mitotic,Vid_346.mp4
0,Non-mitotic,Vid_347.mp4
0,Non-mitotic,Vid_348.mp4
1,Mitotic,Vid_349.mp4
1,Mitotic,Vid_350.mp4
1,Mitotic,Vid_351.mp4
0,Non-mitotic,Vid_352.mp4
0,Non-mitotic,Vid_353.mp4
0,Non-mitotic,Vid_354.mp4
0,Non-mitotic,Vid_355.mp4
1,Mitotic,Vid_356.mp4
1,Mitotic,Vid_357.mp4
1,Mitotic,Vid_358.mp4
1,Mitotic,Vid_359.mp4
0,Non-mitotic,Vid_360.mp4
1,Mitotic,Vid_361.mp4
0,Non-mitotic,Vid_362.mp4
0,Non-mitotic,Vid_363.mp4
1,Mitotic,Vid_364.mp4
0,Non-mitotic,Vid_365.mp4
1,Mitotic,Vid_366.mp4
0,Non-mitotic,Vid_367.mp4
0,Non-mitotic,Vid_368.mp4
0,Non-mitotic,Vid_369.mp4
1,Mitotic,Vid_370.mp4
0,Non-mitotic,Vid_371.mp4
0,Non-mitotic,Vid_372.mp4
0,Non-mitotic,Vid_373.mp4
0,Non-mitotic,Vid_374.mp4
1,Mitotic,Vid_375.mp4
0,Non-mitotic,Vid_376.mp4
0,Non-mitotic,Vid_377.mp4
0,Non-mitotic,Vid_378.mp4
